USAGE_DATE,STORAGE_TB,STAGE_TB,FAILSAFE_TB,TOTAL
2023-02-22,292.01625008,1.043542861,144.442226591,437.502019533
2023-02-23,296.143207396,1.054236259,140.776836356,437.974280011
2023-02-24,295.34889837,1.072024362,143.962339956,440.383262688
2023-02-25,292.997865184,1.15429628,145.060309166,439.21247063
2023-02-26,294.553800672,1.234243946,146.029954864,441.817999483
2023-02-27,300.007583441,1.24418222,148.004503657,449.256269318
2023-02-28,298.035785664,1.199887916,150.150965703,449.386639283
2022-05-17,243.302362762,0.07709588044,143.965729436,387.345188078
2022-05-18,239.393996549,0.07400297587,146.448505428,385.916504952
2022-05-19,238.674249789,0.07527802779,146.777165185,385.526693002
2022-05-20,235.128657795,0.07571415308,149.775938496,384.980310444
2022-05-21,233.677478371,0.07311478057,148.983055727,382.733648879
2022-05-22,234.478111906,0.07314273314,145.47873948,380.029994119
2022-05-23,238.465884145,0.07412465841,141.01937744,379.559386244
2022-05-24,237.574999722,0.07285026444,139.947129565,377.594979551
2022-05-25,241.186894166,0.07150177256,137.380299524,378.638695462
2022-05-26,244.053784268,0.07163479705,141.615299796,385.740718861
2022-05-27,237.990480894,0.07213990119,144.583514296,382.646135091
2022-05-28,236.643318899,0.07307205895,145.093167477,381.809558436
2022-05-29,236.404021407,0.07415766197,146.139262417,382.617441486
2022-05-30,239.811072064,0.0746956115,146.777473479,386.663241154
2022-05-31,240.632831261,0.07312685259,146.511260624,387.217218737
2022-06-01,239.365916489,0.07356102424,147.543872525,386.983350039
2022-06-02,239.368079146,0.07422143695,143.813928621,383.256229203
2022-06-03,240.057531559,0.07175669436,136.346162172,376.475450426
2022-06-04,238.870706677,0.07240918463,135.733515976,374.676631838
2022-06-05,239.892124293,0.07330864997,134.83254141,374.797974353
2022-06-06,244.85556714,0.0734531574,134.758046593,379.687066891
2022-06-07,244.923684534,0.07275077079,135.444714297,380.441149602
2022-06-08,241.705542495,0.07430288195,136.696827246,378.476672623
2022-06-09,242.213137568,0.07496073618,135.707976622,377.996074926
2022-06-10,240.234137335,0.07156541258,137.202881997,377.508584745
2022-06-11,239.205509566,0.07244909971,136.713336169,375.991294834
2022-06-12,239.402463108,0.07394558965,135.857064552,375.33347325
2022-06-13,243.882366373,0.07405950291,134.681990512,378.638416388
2022-06-14,243.104133024,0.07244509544,134.085033868,377.261611987
2022-06-15,242.028389391,0.07173502439,131.6889811,373.789105515
2022-06-16,242.668252421,0.07074453675,131.207042196,373.946039154
2022-06-17,242.539284276,0.07352375237,130.256812633,372.869620661
2022-06-18,241.627741653,0.07379806127,129.900114434,371.601654148
2022-06-19,241.45941643,0.07462417478,129.888238694,371.422279299
2022-06-20,245.016495561,0.07225684213,130.588399929,375.677152332
2022-06-21,244.331169466,0.06310600219,131.346172954,375.740448421
2022-06-22,239.876077017,0.0643044901,134.665235784,374.605617291
2022-06-23,239.725966369,0.06647965314,134.766376153,374.558822176
2022-06-24,240.260784112,0.06632311221,134.071247569,374.398354792
2022-06-25,239.301771103,0.06696835905,134.008980719,373.37772018
2022-06-26,239.712040033,0.06810045712,133.609092319,373.389232809
2022-06-27,244.021748585,0.06893699106,133.168663145,377.259348722
2022-06-28,243.742664978,0.06925945582,133.200263172,377.012187606
2022-06-29,243.093160256,0.070244054,129.745011409,372.908415719
2022-06-30,242.586951913,0.07145868681,130.159796647,372.818207247
2022-07-01,242.948858867,0.07211810112,130.245126245,373.266103213
2022-07-02,242.525015055,0.06989654246,130.354831657,372.949743254
2022-07-03,242.255573924,0.07035295021,131.178798193,373.504725067
2022-10-08,258.732367249,0.2292700089,124.049520008,383.011157266
2022-10-09,260.06036159,0.2299615746,124.541604126,384.83192729
2022-10-10,265.253545862,0.2349944244,125.871944344,391.360484631
